size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
16,597583.920014078,1231949,0,1,,,,222,,2612,
16,597583.920064259,1231949,0,1,251,1410,626,514,,2801,
16,597583.921191809,1231949,0,1,269,1248,584,460,,2561,
16,597583.922062117,1231949,0,1,287,1519,575,494,,2875,
16,597583.922460499,1231949,0,1,181,2254,704,331,,3470,
16,597583.957689700,1231949,0,1,,,,220,,1587,
16,597583.959226999,1231949,0,1,253,1450,535,506,,2744,
16,597583.960770171,1231949,0,1,210,2440,924,543,,4117,
16,597583.960917716,1231949,0,1,183,2513,717,346,,3759,
16,597583.963386690,1231949,0,1,279,,,542,,1989,
16,597583.967896138,1231949,0,1,169,,,355,,1369,
16,597583.968024543,1231949,0,1,195,,,508,,1750,
16,597583.968073660,1231949,0,1,218,,,479,,1622,
16,597583.968257601,1231949,0,1,194,,,513,,1677,
16,597583.968335912,1231949,0,1,216,,,475,,1534,
16,597583.968479891,1231949,0,1,210,,,502,,1569,
16,597583.970565760,1231949,0,1,212,,,507,,1717,
16,597583.976276646,1231949,0,1,507,,,529,,1984,
16,597584.001557591,1231949,0,1,385,,,359,,2267,
16,597584.001771756,1231949,0,1,180,,,521,,1593,
16,597584.020372831,1231949,0,1,219,2442,1075,386,,4122,
16,597584.027397799,1231949,0,1,194,13915,3321,2091,,19521,
16,597584.058606675,1231949,0,1,,,,458,,2927,
16,597584.058862474,1231949,0,1,233,1840,646,598,,3317,
16,597584.122972785,1231949,0,1,,,,360,,2468,
16,597584.123123746,1231949,0,1,297,1272,611,399,,2579,
16,597584.123271029,1231949,0,1,259,1052,609,587,,2507,
16,597584.147736850,1231949,0,1,292,,,446,,1625,
16,597584.152649458,1231949,0,1,253,,,414,,1862,
16,597584.152709127,1231949,0,1,267,1134,574,375,,2350,
16,597584.152796118,1231949,0,1,290,1022,693,367,,2372,
16,597584.152972104,1231949,0,1,190,1010,632,385,,2217,
16,597584.153517980,1231949,0,1,278,1112,561,354,,2305,
16,597584.189375379,1231949,0,1,,,,277,,902,
16,597584.194865507,1231949,0,1,314,,,357,,1580,
16,597584.195105520,1231949,0,1,223,1199,790,889,,3101,
16,597584.221705556,1231949,0,1,2190,,,1437,,3811,
16,597584.222244843,1231949,0,1,1272,,,962,,2442,
16,597584.222376785,1231949,0,1,1260,,,779,,2266,
16,597584.222491115,1231949,0,1,799,,,1054,,2083,
16,597584.222711413,1231949,0,1,857,,,746,,1776,
16,597584.227376363,1231949,0,1,,,,307,,1121,
16,597584.237376126,1231949,0,1,217,968,636,520,,2341,
16,597584.237882319,1231949,0,1,,,,248,,1174,
16,597584.238061330,1231949,0,1,313,1300,530,379,,2522,
16,597584.238145464,1231949,0,1,,,,225,,1504,
16,597584.246375789,1231949,0,1,229,1199,631,603,,2662,
16,597584.248377524,1231949,0,1,243,799,632,454,,2128,
16,597584.295993660,1231949,0,1,218,,,583,,2554,
16,597584.296527743,1231949,0,1,253,,,393,,1736,
16,597584.296667621,1231949,0,1,175,,,393,,2539,
16,597584.296799831,1231949,0,1,625,,,333,,2736,
16,597584.296867074,1231949,0,1,209,,,365,,1628,
16,597584.301925608,1231949,0,1,559,,,478,,3002,
16,597584.305216278,1231949,0,1,417,,,733,,3445,
16,597584.306410978,1231949,0,1,253,,,687,,2551,
16,597584.309379873,1231949,0,1,224,,,1034,,2570,
16,597584.310273533,1231949,0,1,461,,,545,,2085,
16,597584.314244290,1231949,0,1,463,,,469,,2203,
16,597584.314312534,1231949,0,1,254,,,670,,2397,
16,597584.316348942,1231949,0,1,328,,,434,,1583,
16,597584.317201616,1231949,0,1,273,,,347,,1676,
16,597584.319927652,1231949,0,1,395,,,546,,2054,
16,597584.320590009,1231949,0,1,427,,,629,,2002,
16,597584.321178083,1231949,0,1,337,,,486,,1766,
16,597584.330079220,1231949,0,1,270,,,512,,1924,
16,597584.331381063,1231949,0,1,,,462,270,,1070,
16,597584.334377337,1231949,0,1,226,,,318,,1785,
16,597584.336430802,1231949,0,1,1052,,,489,,2680,
16,597584.336653802,1231949,0,1,223,,,324,,1913,
16,597584.338348102,1231949,0,1,989,,,363,,2618,
16,597584.338377496,1231949,0,1,175,,,323,,1802,
16,597584.341216904,1231949,0,1,665,,,347,,2110,
16,597584.372380607,1231949,0,1,248,,,936,,2641,
16,597584.376379477,1231949,0,1,,,438,279,,1031,
16,597584.411378715,1231949,0,1,310,,,506,,1786,
16,597584.462268798,1231949,0,1,1176,,,372,,2932,
16,597584.463492363,1231949,0,1,278,,,537,,1887,
16,597584.465433943,1231949,0,1,,,408,274,,1025,
16,597584.483770623,1231949,0,1,,,,243,,2126,
16,597584.506215054,1231949,0,1,350,,,495,,1918,
16,597584.533772166,1231949,0,1,266,402,738,542,,1948,
16,597584.539382165,1231949,0,1,251,856,679,408,,2194,
16,597584.563380533,1231949,0,1,173,,,493,,2168,
16,597584.564144524,1231949,0,1,1054,,,549,,3570,
16,597584.564256550,1231949,0,1,226,,,597,,1960,
16,597584.605934020,1231947,1,0,723,,,7438,,8526,
64,597585.539710535,1231978,1,0,1285,3239,2936,1301,,8761,
64,597585.632592885,1231980,0,1,3251,,,962,,8160,
64,597585.662164500,1231980,0,1,1558,,,390,,4161,
64,597585.680955424,1231980,0,1,1434,,,370,,3585,
64,597585.681086732,1231980,0,1,247,,,426,,1669,
64,597585.742859709,1231980,0,1,531,,,600,,2614,
64,597585.743166937,1231980,0,1,438,,,644,,2203,
64,597585.837278614,1231980,0,1,3288,,,2850,,6320,
64,597585.967316908,1231980,0,1,2125,,,1239,,3569,
64,597586.010830921,1231980,0,1,1798,,,1256,,3264,
64,597586.011135779,1231980,0,1,1089,,,944,,2214,
64,597586.012849322,1231980,0,1,1866,,,1063,,3110,
64,597586.013825618,1231980,0,1,1326,,,775,,2310,
64,597586.041433301,1231980,0,1,2994,,,1747,,4958,
64,597586.215578978,1231980,0,1,2396,,,918,,3522,
64,597586.231782642,1231980,0,1,2773,,,890,,3841,
64,597586.251115480,1231980,0,1,1950,,,1075,,3282,
64,597586.251158492,1231980,0,1,930,,,1007,,2140,
64,597586.261665125,1231980,0,1,1504,,,927,,2627,
64,597586.267400106,1231980,0,1,894,,,949,,2044,
64,597586.268521772,1231980,0,1,1177,,,913,,2266,
64,597586.268584188,1231980,0,1,940,,,1545,,2682,
64,597586.290182259,1231980,0,1,2096,,,906,,3520,
64,597586.290289354,1231980,0,1,943,,,968,,2110,
64,597586.290346836,1231980,0,1,1064,,,903,,2181,
64,597586.290400197,1231980,0,1,1374,,,611,,2224,
64,597586.291811307,1231980,0,1,521,,,788,,3483,
64,597586.291923879,1231980,0,1,232,,,485,,1959,
64,597586.292600092,1231978,1,0,850,,,24676,,25771,
64,597586.292754805,1231978,1,0,504,,,3250,,3978,
256,597586.913818721,1231991,1,0,1147,2265,3048,1437,,7897,
256,597586.971449061,1231994,0,1,3049,,,916,,7627,
256,597587.036494736,1231994,0,1,212,,,2918,,58003,
256,597587.036559153,1231991,1,0,1202,5936,2241,1258,,10637,
256,597587.108253070,1231991,1,0,282,902,771,765,,2720,
256,597587.108350145,1231991,1,0,301,812,837,627,,2577,
1024,597588.287338346,1232018,1,0,936,3317,2396,1092,,7741,
1024,597588.287769509,1232018,1,0,495,1800,1085,857,,4237,
1024,597588.288030307,1232018,1,0,246,1055,581,403,,2285,
1024,597588.288171043,1232018,1,0,218,1166,582,423,,2389,
1024,597588.288327336,1232018,1,0,265,962,626,417,,2270,
1024,597588.288596075,1232018,1,0,220,1223,575,501,,2519,
1024,597588.288795030,1232018,1,0,340,1107,651,430,,2528,
1024,597588.288958808,1232018,1,0,213,850,704,479,,2246,
1024,597588.289217886,1232018,1,0,236,1096,635,443,,2410,
1024,597588.289534416,1232018,1,0,246,1231,1090,703,,3270,
1024,597588.290161748,1232018,1,0,267,1045,613,416,,2341,
1024,597588.290362772,1232018,1,0,211,1044,621,390,,2266,
1024,597588.290659788,1232018,1,0,313,992,631,465,,2401,
1024,597588.290773159,1232018,1,0,243,957,590,388,,2178,
1024,597588.291011210,1232018,1,0,177,994,641,388,,2200,
1024,597588.291113278,1232018,1,0,267,951,600,401,,2219,
