size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
4096,594626.833714659,1204568,0,1,190,725,654,450,779,2019,2798
4096,594626.833718379,1204566,1,0,176,737,626,390,1063,1929,2992
4096,594626.833722162,1204568,0,1,191,717,661,357,799,1926,2725
4096,594626.833725628,1204566,1,0,182,731,620,375,804,1908,2712
4096,594626.833729104,1204568,0,1,182,719,635,353,833,1889,2722
4096,594626.833732582,1204566,1,0,176,734,861,454,934,2225,3159
16384,594626.833741500,1204568,0,1,197,729,650,401,7753,1977,9730
16384,594626.833753046,1204566,1,0,214,736,626,359,6284,1935,8219
16384,594626.833762862,1204568,0,1,180,729,765,361,2516,2035,4551
16384,594626.833768859,1204566,1,0,198,731,651,374,2522,1954,4476
16384,594626.833775225,1204568,0,1,,,,520,2676,1656,4332
16384,594626.833780875,1204566,1,0,184,728,679,393,2437,1984,4421
16384,594626.833786998,1204568,0,1,718,,,1561,2931,2457,5388
16384,594626.833793921,1204566,1,0,222,941,647,368,2591,2178,4769
16384,594626.833800335,1204568,0,1,166,738,721,494,2504,2119,4623
16384,594626.833806425,1204566,1,0,201,736,630,376,2541,1943,4484
16384,594626.833812855,1204568,0,1,176,742,635,454,2475,2007,4482
16384,594626.833818760,1204566,1,0,178,736,620,364,2420,1898,4318
16384,594626.833824599,1204568,0,1,166,728,631,359,2454,1884,4338
16384,594626.833830749,1204566,1,0,391,776,647,393,2482,2207,4689
16384,594626.833836964,1204568,0,1,173,733,670,457,2546,2033,4579
16384,594626.833843029,1204566,1,0,190,723,618,363,2425,1894,4319
16384,594626.833848852,1204568,0,1,169,736,631,361,2432,1897,4329
16384,594626.833854635,1204566,1,0,185,732,619,352,2338,1888,4226
16384,594626.833860412,1204568,0,1,166,731,619,363,2510,1879,4389
16384,594626.833866230,1204566,1,0,311,723,701,359,3714,2094,5808
16384,594626.833873557,1204568,0,1,206,743,799,396,2382,2144,4526
16384,594626.833879421,1204566,1,0,194,738,643,373,2486,1948,4434
16384,594626.833885505,1204568,0,1,172,722,663,373,2408,1930,4338
16384,594626.833891391,1204566,1,0,212,728,629,392,2322,1961,4283
16384,594626.833897200,1204568,0,1,171,727,639,357,2525,1894,4419
16384,594626.833903145,1204566,1,0,178,726,634,398,2407,1936,4343
16384,594626.833909079,1204568,0,1,173,737,623,355,2419,1888,4307
16384,594626.833914770,1204566,1,0,176,721,627,355,2352,1879,4231
16384,594626.833921061,1204568,0,1,170,742,619,367,2455,1898,4353
16384,594626.833926867,1204566,1,0,178,749,635,391,2464,1953,4417
65536,594626.833943743,1204568,0,1,,,1329,454,25335,2681,28016
65536,594626.833976620,1204566,1,0,203,730,649,508,22937,2090,25027
65536,594626.834007650,1204568,0,1,177,723,693,403,8999,1996,10995
65536,594626.834023673,1204566,1,0,258,735,729,448,8894,2170,11064
65536,594626.834040672,1204568,0,1,177,719,744,378,9049,2018,11067
65536,594626.834056607,1204566,1,0,176,729,689,386,8920,1980,10900
65536,594626.834073355,1204568,0,1,365,739,659,369,8883,2132,11015
65536,594626.834088963,1204566,1,0,175,733,669,392,8911,1969,10880
65536,594626.834105519,1204568,0,1,192,734,720,380,8922,2026,10948
65536,594626.834121216,1204566,1,0,183,847,657,411,8997,2098,11095
65536,594626.834138110,1204568,0,1,239,753,787,367,8967,2146,11113
65536,594626.834153848,1204566,1,0,192,731,636,377,8827,1936,10763
65536,594626.834169302,1204568,0,1,180,730,677,388,8833,1975,10808
65536,594626.834184804,1204566,1,0,188,726,627,407,8753,1948,10701
65536,594626.834200224,1204568,0,1,229,730,626,416,8817,2001,10818
